Bin,X1,X2,X3,X4,X5,X7,X8,X9,X10,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85
47_bin.13,602,274,1824,60,170,47,1872,322,105,161,138,164,157,114,160,148,641,772,690,793,769,695,720,35,137,138,138,139,119,125,142,110,131,135
47_bin.30,1155,741,3141,97,438,82,3361,539,462,253,224,269,256,219,238,225,1058,1100,1052,1208,1252,1053,1055,40,184,172,154,177,158,205,247,185,196,223
47_bin.61,3,14,47,3,9,6,40,18,6,12,5,7,6,5,3,7,19,17,15,24,31,21,27,1,6,3,5,7,7,6,9,8,7,6
47_bin.64,448,743,1411,72,275,203,1466,625,377,142,150,124,166,118,134,156,595,653,633,680,725,612,687,47,179,120,165,148,149,165,150,136,129,141
48_bin.50,52,16,423,5,15,3,189,41,7,13,13,20,17,12,14,20,98,90,95,86,107,79,83,11,27,28,24,25,44,39,20,11,12,9
48_bin.65,38,19,316,10,26,2,87,47,2,13,11,17,19,14,9,6,48,60,53,56,69,38,65,0,6,16,12,15,12,13,11,8,8,11
49_bin.10,28,8,200,1,3,0,95,11,0,5,10,7,4,3,6,7,36,27,32,36,29,26,21,2,8,12,14,11,13,14,8,7,2,10
49_bin.68,44,63,296,14,24,14,210,104,40,93,75,98,90,71,84,114,391,359,360,354,446,390,398,32,95,81,100,97,95,115,115,91,86,96
49_bin.94,528,587,3676,89,238,187,3509,520,618,437,389,420,409,367,402,405,1708,1776,1792,1923,2016,1781,1726,114,376,375,369,415,380,401,352,331,330,384
50_bin.1,725,690,1020,243,9320,75,1581,2112,506,312,334,313,315,253,296,294,1272,1351,1308,1355,1499,1319,1298,56,266,235,231,235,236,245,325,253,269,289
